app_id,name,release_date,is_free,price_overview,type
3332,Zuma Deluxe Free Demo,\N,1,\N,demo
3340,AstroPop Deluxe,2006-08-30,0,"9,90",game
3342,AstroPop Deluxe Free Demo,\N,1,\N,demo
3350,Bejeweled Deluxe,2006-08-30,0,"9,90",game
3352,Bejeweled Deluxe Free Demo,\N,1,\N,demo
3360,Big Money! Deluxe,2006-08-30,0,"9,90",game
3362,Big Money! Deluxe Free Demo,\N,1,\N,demo
3380,Dynomite Deluxe,2006-08-30,0,"9,90",game
3382,Dynomite Deluxe Free Demo,\N,1,\N,demo
3390,Feeding Frenzy 2 Deluxe,2006-08-30,0,"9,90",game
3392,Feeding Frenzy 2 Deluxe Free Demo,\N,1,\N,demo
3400,Hammer Heads Deluxe,2006-08-30,0,\N,game
3410,Heavy Weapon Deluxe,2006-08-30,0,"9,90",game
3412,Heavy Weapon Deluxe Free Demo,\N,1,\N,demo
3420,Iggle Pop Deluxe,2006-08-30,0,"9,90",game
3422,Iggle Pop Deluxe Free Demo,\N,1,\N,demo
3430,Pizza Frenzy Deluxe,2006-08-30,0,"9,90",game
3432,Pizza Frenzy Deluxe Free Demo,\N,1,\N,demo
3450,Typer Shark! Deluxe,2006-08-30,0,"9,90",game
3452,Typer Shark! Deluxe Free Demo,\N,1,\N,demo
3460,Talismania Deluxe,2006-08-30,0,"9,90",game
3462,Talismania Deluxe Free Demo,\N,1,\N,demo
3480,Peggle Deluxe,2007-03-06,0,"29,00",game
3482,Peggle Deluxe Free Demo,\N,1,\N,demo
3483,Peggle Extreme,2007-09-11,1,\N,game
3490,Venice Deluxe,2007-06-25,0,\N,game
3500,Mystery P.I.™ - The Lottery Ticket,2007-10-16,0,"9,90",game
3502,Mystery P.I.™ - The Lottery Ticket Free Demo,\N,1,\N,demo
3510,Amazing Adventures The Lost Tomb™,2007-12-13,0,"9,90",game
3512,Amazing Adventures The Lost Tomb™ Demo,\N,1,\N,demo
3520,Mystery P.I.™ - The Vegas Heist,2008-06-05,0,"9,90",game
3522,Mystery P.I.™ - The Vegas Heist Free Demo,2008-06-05,1,\N,demo
3530,Amazing Adventures Around the World,2009-04-15,0,"9,90",game
3532,Amazing Adventures Around the World Demo,2009-04-15,1,\N,demo
3540,Peggle™ Nights,2008-10-15,0,"29,00",game
3560,Bejeweled Twist,2008-11-18,0,"9,90",game
3562,Bejeweled Twist Free Demo,2008-11-18,1,\N,demo
3570,Mystery P.I.™ - The New York Fortune,2009-01-28,0,"9,90",game
3572,Mystery P.I.™ - The New York Fortune Demo,2009-01-28,1,\N,demo
3580,The Wizard's Pen™,2009-02-18,0,"9,90",game
3582,The Wizard's Pen™ Free Demo,2009-02-18,1,\N,demo
3590,Plants vs. Zombies GOTY Edition,2009-05-05,0,"9,90",game
3592,Plants vs. Zombies Demo,2009-05-05,1,\N,demo
3600,Escape Rosecliff Island,2009-04-15,0,"9,90",game
3602,Escape Rosecliff Island Demo,2009-04-15,1,\N,demo
3610,Mystery P.I. - Lost in Los Angeles,2009-07-27,0,"9,90",game
3612,Mystery P.I. - Lost in Los Angeles Demo,2009-07-27,1,\N,demo
3620,Zuma's Revenge!,2009-09-15,0,"9,90",game
3622,Zuma's Revenge! Demo,2009-09-15,1,\N,demo
3700,Sniper Elite,2009-07-16,0,"15,99",game
3710,Judge Dredd: Dredd vs. Death,2009-03-26,0,"15,99",game
3720,Evil Genius,2009-06-22,0,"19,99",game
3730,Aliens versus Predator Classic 2000,2010-01-15,0,"16,99",game
3800,Advent Rising,2006-09-14,0,"20,69",game
3810,BloodRayne (Legacy),2006-09-14,0,\N,game
3820,BloodRayne 2 (Legacy),2006-09-14,0,\N,game
3830,Psychonauts,2006-10-11,0,"19,99",game
3850,BloodRayne 2 Demo,2006-11-07,1,\N,demo
3900,Sid Meier's Civilization® IV,2006-10-25,0,"29,99",game
3910,Sid Meier's Civilization® III Complete,2006-10-25,0,"16,99",game
3920,Sid Meier's Pirates!,2005-07-11,0,"14,99",game
3960,Shattered Union,2006-10-25,0,\N,game
3980,CivCity: Rome,2007-04-06,0,"14,99",game
3990,Civilization IV®: Warlords,2007-04-06,0,"7,99",game
4000,Garry's Mod,2006-11-29,0,"15,59",game
4100,Poker Superstars II,2006-10-05,0,"16,99",game
4102,Poker Superstars II Demo,\N,1,\N,demo
4230,RACE - The WTCC Game,2006-11-24,0,"72,99",game
4260,RACE 07 Demo,2007-09-07,1,\N,demo
4290,RACE: Caterham Expansion,2007-06-22,0,"13,79",game
4300,RoboBlitz,2006-11-07,0,"16,99",game
4310,RoboBlitz Demo,2006-11-07,1,\N,demo
4420,Silverfall,2007-03-20,0,"2,68",game
4440,Silverfall Demo,2007-03-09,1,\N,demo
4460,City Life 2008,2008-09-29,0,"3,49",game
4470,Silverfall: Earth Awakening,2008-07-18,0,"2,68",game
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,2007-03-20,0,"74,99",game
4520,Full Spectrum Warrior,2007-07-17,0,"16,99",game
4530,Full Spectrum Warrior: Ten Hammers,2007-07-17,0,"16,99",game
4560,Company of Heroes - Legacy Edition,2007-07-17,0,"109,00",game
4570,"Warhammer 40,000: Dawn of War - Anniversary Edition",2007-08-07,0,"89,00",game
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",2007-08-07,0,\N,game
4700,Total War: MEDIEVAL II – Definitive Edition,2006-11-15,0,"84,99",game
4710,Medieval II: Total War™ Demo,2006-11-10,1,\N,demo
4720,Condemned: Criminal Origins,2012-10-29,0,"27,99",game
4760,Rome: Total War™ - Collection,2007-08-28,0,\N,game
4770,Rome: Total War™ - Alexander,2007-08-28,0,\N,game
4780,Medieval II: Total War™ Kingdoms,2007-08-28,0,"84,99",game
4800,Heroes of Annihilated Empires,2006-11-22,0,"6,62",game
4810,Heroes of Annihilated Empires Demo,2006-11-16,1,\N,demo
4820,Heroes... Multiplayer Demo,2007-03-06,1,\N,demo
4850,Cossacks: Back to War,2010-09-02,0,"4,24",game
4870,Cossacks: Art of War,2011-08-26,0,"16,99",game
4880,Cossacks: European Wars,2011-08-26,0,"4,24",game
4890,Cossacks II: Battle for Europe,2011-08-26,0,"4,24",game
4900,Zen of Sudoku,2006-12-14,1,\N,game
4920,Natural Selection 2,2012-10-30,0,"16,99",game
6000,STAR WARS™ Republic Commando™,2009-07-08,0,"32,99",game
6010,Indiana Jones® and the Fate of Atlantis™,2009-07-08,0,"20,49",game
6020,STAR WARS™ Jedi Knight - Jedi Academy™,2009-09-16,0,"32,99",game
6030,STAR WARS™ Jedi Knight II - Jedi Outcast™,\N,0,"32,99",game
6040,The Dig®,2009-07-08,0,"20,49",game
6060,"STAR WARS™ Battlefront II (Classic, 2005)",\N,0,"32,99",game
6080,Thrillville®: Off the Rails™,2009-07-08,0,"32,99",game
6090,Armed and Dangerous®,2009-07-08,0,"20,49",game
6120,Shank,2010-10-25,0,"19,99",game
6130,Shank Demo,2010-10-26,1,\N,demo
6200,Ghost Master®,2006-12-21,0,"10,49",game
6210,Vegas: Make It Big™,2006-12-21,0,"16,99",game
6220,FlatOut,2007-02-02,0,"24,84",game
6230,FlatOut Demo,2007-02-02,1,\N,demo
6250,Making History: The Calm & the Storm,2007-03-13,0,"13,79",game
6260,Making History Demo,2007-03-13,1,\N,demo
6270,Ducati World Championship,2007-09-21,0,"13,79",game
6300,Dreamfall: The Longest Journey,2007-01-12,0,"59,99",game
6310,The Longest Journey,2007-05-01,0,"32,99",game
6320,The Longest Journey Demo,2007-05-01,1,\N,demo
6370,Bloodline Champions,2011-10-28,1,\N,game
6400,Joint Task Force,2007-03-27,0,"16,59",game
6410,Joint Task Force Demo,2007-03-27,1,\N,demo
6420,Nexus - The Jupiter Incident,2007-07-03,0,"32,99",game
6510,Lost Planet™: Extreme Condition,2007-06-29,0,"24,99",game
6580,Lost Planet Demo,2007-05-15,1,\N,demo
6600,Bullet Candy,2007-02-14,0,"8,39",game
6800,Commandos: Behind Enemy Lines,2007-03-15,0,"19,00",game
6810,Commandos: Beyond the Call of Duty,2007-03-15,0,"19,00",game
6830,Commandos 2: Men of Courage,2007-03-15,0,"19,00",game
6840,Commandos 3: Destination Berlin,2007-03-15,0,"19,00",game
6850,Hitman 2: Silent Assassin,2007-03-15,0,"22,79",game
6860,Hitman: Blood Money,2007-03-15,0,"32,99",game
6870,Battlestations: Midway,2007-03-15,0,"21,90",game
6880,Just Cause,2007-03-15,0,"21,90",game
6900,Hitman: Codename 47,2007-03-15,0,"20,69",game
6910,Deus Ex: Game of the Year Edition,2007-03-29,0,"4,05",game
6920,Deus Ex: Invisible War,2007-03-29,0,"4,05",game
6930,Just Cause Demo,2007-03-15,1,\N,demo
6940,Battlestations: Midway Demo,2007-03-15,1,\N,demo
6950,Hitman Blood Money Demo,2007-03-15,1,\N,demo
6980,Thief: Deadly Shadows,\N,0,"4,12",game
7000,Tomb Raider: Legend,2007-03-29,0,"28,99",game
7010,Project: Snowblind,2007-03-29,0,"19,90",game
7020,Rogue Trooper,2007-03-29,0,"32,99",game
7030,Tomb Raider: Legend Demo,2007-03-29,1,\N,demo
7050,Project: Snowblind Demo,2007-03-29,1,\N,demo
7110,Jade Empire™: Special Edition,2007-02-27,0,"59,00",game
7200,Trackmania United Forever,2008-04-16,0,"89,99",game
7210,"Runaway, A Road Adventure",2007-03-14,0,"2,68",game
7220,"Runaway, The Dream of The Turtle",2007-03-14,0,"2,68",game
7230,"Runaway, The Dream of The Turtle Demo",2007-03-14,1,\N,demo
7260,Loki,2007-10-05,0,"19,99",game
7280,Loki Demo - Egyptian Sorcerer,2007-10-05,1,\N,demo
7340,Azada,2010-04-21,0,"19,99",game
7510,X-Blades,2009-04-30,0,"41,99",game
7520,Two Worlds II HD,2011-02-03,0,"73,99",game
7530,Two Worlds II Castle Defense,2011-06-14,0,"32,99",game
7600,Sid Meier's Railroads!,2007-05-04,0,"16,99",game
7610,Railroad Tycoon 3,2007-05-04,0,\N,game
7620,Railroad Tycoon II Platinum,2007-05-04,0,\N,game
7650,X-COM: Terror From the Deep,2007-05-04,0,"1,99",game
7660,X-COM: Apocalypse,2008-09-04,0,"1,99",game
7670,BioShock™,\N,0,"29,99",game
7710,BioShock Demo,2007-08-20,1,\N,demo
7730,X-COM: Interceptor,2008-09-04,0,"1,99",game
7760,X-COM: UFO Defense,2008-09-04,0,"1,99",game
7770,X-COM: Enforcer,2008-09-04,0,"1,99",game
7800,Stubbs the Zombie in Rebel Without a Pulse,2021-03-16,0,"14,99",game
7830,Men of War™,2009-05-06,0,"16,99",game
7840,Death Track®: Resurrection,2009-05-06,0,"10,49",game
7860,NecroVision,2009-05-20,0,"16,99",game
7890,Men of War™ Demo,2009-05-08,1,\N,demo
7940,Call of Duty® 4: Modern Warfare® (2007),2007-11-12,0,"54,95",game
8000,Tomb Raider: Anniversary,2007-06-05,0,"37,49",game
8030,Tomb Raider: Anniversary Demo,2007-05-29,1,\N,demo
8080,Kane and Lynch: Dead Men™,2007-12-13,0,\N,game
8090,Conflict: Denied Ops Demo,2008-01-25,1,\N,demo
8100,Conflict: Denied Ops,2008-02-08,0,"19,90",game
8140,Tomb Raider: Underworld,2008-11-21,0,"37,49",game
8150,Tomb Raider: Underworld Demo,2008-10-31,1,\N,demo
8170,Battlestations Pacific,2009-05-12,0,\N,game
8180,Battlestations Pacific Demo,2009-05-01,1,\N,demo
8190,Just Cause 2,2010-03-23,0,"64,90",game
8310,Bone: Out From Boneville,2008-06-17,0,\N,game
8320,Bone: The Great Cow Race,2008-06-17,0,\N,game
8330,Telltale Texas Hold ‘Em,2008-06-17,0,"1,77",game
8400,Geometry Wars: Retro Evolved,2007-06-18,0,"10,95",game
8500,EVE Online,2010-12-15,1,\N,game
8600,RACE 07,2007-10-15,0,"26,49",game
8700,STCC - The Game Demo,2008-09-18,1,\N,demo
8720,GTR Evolution Demo,2008-10-23,1,\N,demo
8760,RACE On Demo,2009-10-09,1,\N,demo
8780,RACE On,2009-10-16,0,"15,99",game
8790,GTR 2 FIA GT Racing Game,2012-12-12,0,"26,49",game
8800,Civilization IV: Beyond the Sword,2007-07-24,0,"14,99",game
8820,Civilization IV: Beyond the Sword Demo,2007-07-26,1,\N,demo
8850,BioShock® 2,2010-02-09,0,"29,99",game
8870,BioShock Infinite,\N,0,"89,99",game
8880,Freedom Force,2009-05-29,0,"9,99",game
8890,Freedom Force vs. the Third Reich,2009-05-29,0,"9,99",game
8900,Freedom Force Demo,2009-05-29,1,\N,demo
8910,Freedom Force vs. the Third Reich Demo,2009-05-29,1,\N,demo
8930,Sid Meier's Civilization® V,2010-09-23,0,"44,99",game
8970,Axel & Pixel,2010-10-06,0,"16,99",game
8980,Borderlands Game of the Year,2023-08-31,0,"69,99",game
9010,Return to Castle Wolfenstein,2007-08-03,0,"17,99",game
